sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
heteroclitus,BLF19183,,CASENT0134275,1.78,0.52,0.88,0.44,1.56,1.55,0.62,0.44,0.74,1.96,1.51,0.69,1.54,2.78,1.07,0.36,1.84,0.4,0.76
heteroclitus,BLF22263,,CASENT0149787,1.5,0.45,0.7,0.36,1.3,1.28,0.52,0.34,0.66,1.58,1.22,0.53,1.3,2.34,0.88,0.22,1.62,0.32,0.64
heteroclitus,BLF22351,,CASENT0152128,1.81,0.53,0.86,0.46,1.63,1.59,0.62,0.42,0.77,1.95,1.49,0.72,1.58,2.89,1.15,0.33,1.96,0.4,0.77
heteroclitus,BLF22401,,CASENT0153054,1.64,0.51,0.77,0.41,1.53,1.48,0.61,0.41,0.68,1.65,1.33,0.61,1.41,2.64,0.98,0.28,1.68,0.32,0.66
heteroclitus,BLF22428,,CASENT0153063,1.55,0.46,0.76,0.38,1.33,1.32,0.56,0.36,0.66,1.71,1.33,0.56,1.4,2.51,0.9,0.24,1.66,0.33,0.68
heteroclitus,BLF27974,,CASENT0274839,1.48,0.45,0.71,0.38,1.29,1.28,0.5,0.36,0.66,1.64,1.22,0.56,1.33,2.41,0.89,0.24,1.65,0.32,0.64
heteroclitus,BLF27982,,CASENT0275547,1.78,0.53,0.84,0.4,1.62,1.58,0.64,0.43,0.69,1.94,1.53,0.72,1.54,2.85,1.1,0.3,1.92,0.38,0.7
heteroclitus,BLF36333,,CASENT0724230,1.68,0.54,0.8,0.42,1.53,1.49,0.6,0.41,0.73,1.88,1.45,0.63,1.43,2.68,1,0.33,1.85,0.38,0.76
heteroclitus,BLF36454,,CASENT0393303,1.77,0.54,0.85,0.44,1.62,1.57,0.64,0.44,0.74,1.92,1.53,0.7,1.5,2.87,1.09,0.33,1.94,0.37,0.77
heteroclitus,BLF41536,,CASENT0838703,1.68,0.49,0.8,0.4,1.49,1.48,0.6,0.39,0.69,1.81,1.37,0.62,1.45,2.65,1.02,0.28,1.8,0.36,0.72
hildebrandti,BLF03709,,CASENT0826171,2.45,0.79,1.21,0.75,1.63,1.57,0.46,0.36,0.88,3.67,1.23,0.45,2.45,4.06,1.14,0.36,3.9,0.48,0.98
hildebrandti,BLF08541,,CASENT0497144,2.48,0.84,1.22,0.76,1.68,1.56,0.51,0.34,0.94,3.72,1.34,0.42,2.57,4.17,1.18,0.4,4.01,0.48,1.02
hildebrandti,BLF08541,,CASENT0830115,2.23,0.76,1.09,0.69,1.4,1.33,0.43,0.3,0.85,3.56,1.16,0.36,2.24,3.8,1.03,0.29,3.76,0.41,0.82
hildebrandti,BLF08934,,CASENT0487887,2.14,0.66,1.07,0.65,1.42,1.36,0.43,0.29,0.83,3.38,1.07,0.36,2.19,3.61,0.93,0.34,3.65,0.4,0.97
hildebrandti,BLF08934,,CASENT0487890,2.13,0.65,1.03,0.68,1.46,1.39,0.4,0.3,0.83,3.39,1.09,0.36,2.23,3.57,0.9,0.29,3.64,0.43,1.01
hildebrandti,BLF10551,,CASENT0050359,2.15,0.64,1.07,0.67,1.44,1.39,0.38,0.33,0.81,3.43,1.12,0.36,2.16,3.61,1.01,0.32,3.57,0.43,0.98
hildebrandti,BLF10681,,CASENT0051850,2,0.59,0.97,0.65,1.28,1.28,0.35,0.29,0.81,3.36,1.04,0.33,2.12,3.5,0.89,0.28,3.41,0.42,0.84
hildebrandti,BLF10698,,CASENT0051129,2.2,0.72,1.09,0.66,1.41,1.38,0.4,0.31,0.85,3.52,1.1,0.35,2.29,3.8,1.04,0.29,3.68,0.42,0.88
hildebrandti,BLF11810,,CASENT0830130,2.45,0.82,1.22,0.72,1.58,1.52,0.45,0.36,0.9,3.67,1.24,0.42,2.48,3.98,1.09,0.36,3.9,0.45,1.01
hildebrandti,BLF11979,,CASENT0058873,2.12,0.64,1,0.66,1.46,1.36,0.38,0.3,0.82,3.51,1.1,0.33,2.23,3.61,0.96,0.29,3.62,0.43,1.01
hildebrandti,BLF14273,,CASENT0825458,2.24,0.7,1.16,0.68,1.56,1.45,0.43,0.32,0.86,3.62,1.28,0.38,2.3,3.94,1.14,0.36,3.77,0.44,0.97
